"theta","K","R","n","m","Aobs_averagepcs","B","logitB","logitA"
0.1,4,2,40,1,0.5972,0.653898169872389,0.636218597289907,0.393811904820628
0.1,4,2,45,1,0.6196,0.672939078040648,0.721508343345875,0.487850777871478
0.1,4,2,50,1,0.63275,0.690426744802972,0.802115124184396,0.544032584371247
0.1,4,2,20,2,0.5049,0.555190883864497,0.221666751870065,0.0196006274974928
0.1,4,2,25,2,0.53225,0.584286767208361,0.34039622374461,0.12917933861939
0.1,4,2,30,2,0.5588,0.6099962168459,0.447296315784388,0.236293340003459
0.1,4,2,35,2,0.5775,0.633035927100891,0.545263228152251,0.31251899559872
0.1,4,2,40,2,0.5999,0.653898169872389,0.636218597289907,0.405048458795858
0.1,4,2,45,2,0.6144,0.672939078040648,0.721508343345875,0.465845619097072
0.1,4,2,50,2,0.6367,0.690426744802972,0.802115124184396,0.561069647795824
0.1,4,2,20,3,0.5025,0.555190883864497,0.221666751870065,0.0100000833345832
0.1,4,2,25,3,0.52665,0.584286767208361,0.34039622374461,0.106701118707651
0.1,4,2,30,3,0.5512,0.6099962168459,0.447296315784388,0.205520365490962
0.1,4,2,35,3,0.5736,0.633035927100891,0.545263228152251,0.296554416433776
0.1,4,2,40,3,0.59735,0.653898169872389,0.636218597289907,0.394435508021679
0.1,4,2,45,3,0.613,0.672939078040648,0.721508343345875,0.45994024290643
0.1,4,2,50,3,0.6287,0.690426744802972,0.802115124184396,0.526643834205981
0.1,4,2,20,4,0.4939,0.555190883864497,0.221666751870065,-0.0244012106734532
0.1,4,2,25,4,0.52395,0.584286767208361,0.34039622374461,0.0958733691892504
0.1,4,2,30,4,0.55345,0.6099962168459,0.447296315784388,0.214620037701738
0.1,4,2,35,4,0.5711,0.633035927100891,0.545263228152251,0.286340534147983
0.1,4,2,40,4,0.59265,0.653898169872389,0.636218597289907,0.374931238768859
0.1,4,2,45,4,0.61195,0.672939078040648,0.721508343345875,0.4555163825282
0.1,4,2,50,4,0.63075,0.690426744802972,0.802115124184396,0.535435666109678
0.1,4,2.25,20,1,0.53825,0.605371733440122,0.427898480306643,0.153299517165123
0.1,4,2.25,25,1,0.5717,0.637767659427192,0.565688216110819,0.2887904936486
0.1,4,2.25,30,1,0.59535,0.666016320196003,0.690222046118368,0.386126971955473
0.1,4,2.25,35,1,0.6151,0.690999268294609,0.804795119985611,0.468801295924622
0.1,4,2.25,40,1,0.6351,0.71332461910875,0.911586104495214,0.554159123366527
0.1,4,2.25,45,1,0.66065,0.733434122698734,1.01211637384337,0.666192175710458
0.1,4,2.25,50,1,0.6698,0.751661570607227,1.10749373302011,0.707280628874076
0.1,4,2.25,20,2,0.53225,0.605371733440122,0.427898480306643,0.12917933861939
0.1,4,2.25,25,2,0.5686,0.637767659427192,0.565688216110819,0.276141465261843
0.1,4,2.25,30,2,0.59375,0.666016320196003,0.690222046118368,0.379489621704904
0.1,4,2.25,35,2,0.61505,0.690999268294609,0.804795119985611,0.468590109590735
0.1,4,2.25,40,2,0.63935,0.71332461910875,0.911586104495214,0.572544076307495
0.1,4,2.25,45,2,0.65275,0.733434122698734,1.01211637384337,0.631149225944785
0.1,4,2.25,50,2,0.6758,0.751661570607227,1.10749373302011,0.734536564978614
0.1,4,2.25,20,3,0.5335,0.605371733440122,0.427898480306643,0.134201050454409
0.1,4,2.25,25,3,0.56435,0.637767659427192,0.565688216110819,0.25883545772434
0.1,4,2.25,30,3,0.58755,0.666016320196003,0.690222046118368,0.353846362473209
0.1,4,2.25,35,3,0.61265,0.690999268294609,0.804795119985611,0.458465133317544
0.1,4,2.25,40,3,0.63425,0.71332461910875,0.911586104495214,0.550493158579157
0.1,4,2.25,45,3,0.65485,0.733434122698734,1.01211637384337,0.640427096625927
0.1,4,2.25,50,3,0.6695,0.751661570607227,1.10749373302011,0.705924505839486
0.1,4,2.25,20,4,0.5278,0.605371733440122,0.427898480306643,0.111314799417811
0.1,4,2.25,25,4,0.5613,0.637767659427192,0.565688216110819,0.246439713775985
0.1,4,2.25,30,4,0.59,0.666016320196003,0.690222046118368,0.363965377201411
0.1,4,2.25,35,4,0.61165,0.690999268294609,0.804795119985611,0.454253228627269
0.1,4,2.25,40,4,0.6352,0.71332461910875,0.911586104495214,0.55459065173275
0.1,4,2.25,45,4,0.65525,0.733434122698734,1.01211637384337,0.642197325530105
0.1,4,2.25,50,4,0.676,0.751661570607227,1.10749373302011,0.735449560250634
0.1,4,2.5,20,1,0.5592,0.648629271019974,0.613019448404389,0.237915933080895
0.1,4,2.5,25,1,0.59155,0.68326357714996,0.768810741681885,0.370376702911794
0.1,4,2.5,30,1,0.62195,0.713040160784016,0.910195472390586,0.497833241651695
0.1,4,2.5,35,1,0.64155,0.739005707971538,1.04080710737034,0.582097943042146
0.1,4,2.5,40,1,0.66365,0.761884770250097,1.16304060898995,0.679602617600596
0.1,4,2.5,45,1,0.68875,0.78220522321391,1.27856391138007,0.794281912688207
0.1,4,2.5,50,1,0.69755,0.800366821053107,1.38858857164124,0.835658221161194
0.1,4,2.5,20,2,0.5538,0.648629271019974,0.613019448404389,0.216036328738429
0.1,4,2.5,25,2,0.59435,0.68326357714996,0.768810741681885,0.381977652585559
0.1,4,2.5,30,2,0.62245,0.713040160784016,0.910195472390586,0.499960293578361
0.1,4,2.5,35,2,0.64405,0.739005707971538,1.04080710737034,0.592986091292215
0.1,4,2.5,40,2,0.6694,0.761884770250097,1.16304060898995,0.705472603390302
0.1,4,2.5,45,2,0.6808,0.78220522321391,1.27856391138007,0.757450711683511
0.1,4,2.5,50,2,0.7043,0.800366821053107,1.38858857164124,0.867858974892933
0.1,4,2.5,20,3,0.5591,0.648629271019974,0.613019448404389,0.237510255668708
0.1,4,2.5,25,3,0.5933,0.68326357714996,0.768810741681885,0.377624360351418
0.1,4,2.5,30,3,0.61665,0.713040160784016,0.910195472390586,0.475353192007094
0.1,4,2.5,35,3,0.6462,0.739005707971538,1.04080710737034,0.602377271664713
0.1,4,2.5,40,3,0.6634,0.761884770250097,1.16304060898995,0.678482844756246
0.1,4,2.5,45,3,0.6858,0.78220522321391,1.27856391138007,0.780556314207299
0.1,4,2.5,50,3,0.7015,0.800366821053107,1.38858857164124,0.854450966709859
0.1,4,2.5,20,4,0.55535,0.648629271019974,0.613019448404389,0.22231108976748
0.1,4,2.5,25,4,0.5914,0.68326357714996,0.768810741681885,0.369755925034855
0.1,4,2.5,30,4,0.6223,0.713040160784016,0.910195472390586,0.499322061856761
0.1,4,2.5,35,4,0.64465,0.739005707971538,1.04080710737034,0.595604314583942
0.1,4,2.5,40,4,0.66495,0.761884770250097,1.16304060898995,0.685432075439993
0.1,4,2.5,45,4,0.68955,0.78220522321391,1.27856391138007,0.798016353109445
0.1,4,2.5,50,4,0.70585,0.800366821053107,1.38858857164124,0.875312909019743
0.15,4,1.25,20,1,0.34815,0.362670541019081,-0.563791904272187,-0.627181052720232
0.15,4,1.25,25,1,0.35965,0.374962587595685,-0.510985253209872,-0.576883565558715
0.15,4,1.25,30,1,0.3654,0.386093003851263,-0.463765161540956,-0.552002235205189
0.15,4,1.25,35,1,0.3815,0.396326064801893,-0.420796941365841,-0.483186341108031
0.15,4,1.25,40,1,0.3877,0.405838304041625,-0.381196683371416,-0.456990513807025
0.15,4,1.25,45,1,0.39085,0.414754567693591,-0.344344359517763,-0.443740688134077
0.15,4,1.25,50,1,0.39795,0.423167016182898,-0.309785830054361,-0.414014129086369
0.15,4,1.25,20,2,0.34465,0.362670541019081,-0.563791904272187,-0.642640034733894
0.15,4,1.25,25,2,0.35555,0.374962587595685,-0.510985253209872,-0.594731353521262
0.15,4,1.25,30,2,0.3636,0.386093003851263,-0.463765161540956,-0.559772934160308
0.15,4,1.25,35,2,0.3803,0.396326064801893,-0.420796941365841,-0.488275075033848
0.15,4,1.25,40,2,0.38565,0.405838304041625,-0.381196683371416,-0.465634575933572
0.15,4,1.25,45,2,0.38975,0.414754567693591,-0.344344359517763,-0.448363201335183
0.15,4,1.25,50,2,0.39655,0.423167016182898,-0.309785830054361,-0.419861050534578
0.15,4,1.25,20,3,0.341,0.362670541019081,-0.563791904272187,-0.65884105721899
0.15,4,1.25,25,3,0.35545,0.374962587595685,-0.510985253209872,-0.595167806513622
0.15,4,1.25,30,3,0.3638,0.386093003851263,-0.463765161540956,-0.558908713231022
0.15,4,1.25,35,3,0.37715,0.396326064801893,-0.420796941365841,-0.501662733032462
0.15,4,1.25,40,3,0.3795,0.405838304041625,-0.381196683371416,-0.491671007808977
0.15,4,1.25,45,3,0.3858,0.414754567693591,-0.344344359517763,-0.465001507535094
0.15,4,1.25,50,3,0.39395,0.423167016182898,-0.309785830054361,-0.430738493224824
0.15,4,1.25,20,4,0.3393,0.362670541019081,-0.563791904272187,-0.666415207245656
0.15,4,1.25,25,4,0.35265,0.374962587595685,-0.510985253209872,-0.607411042850468
0.15,4,1.25,30,4,0.35955,0.386093003851263,-0.463765161540956,-0.577317804728642
0.15,4,1.25,35,4,0.37345,0.396326064801893,-0.420796941365841,-0.517444452808218
0.15,4,1.25,40,4,0.37765,0.405838304041625,-0.381196683371416,-0.49953479468753
0.15,4,1.25,45,4,0.38325,0.414754567693591,-0.344344359517763,-0.475776237657543
0.15,4,1.25,50,4,0.39085,0.423167016182898,-0.309785830054361,-0.443740688134077
0.15,4,1.5,20,1,0.4337,0.456203366868026,-0.175636650738711,-0.266770922278439
0.15,4,1.5,25,1,0.4523,0.477948185953597,-0.0882645145525256,-0.191382015305878
0.15,4,1.5,30,1,0.4726,0.497435849322545,-0.0102566926256606,-0.109709909166379
0.15,4,1.5,35,1,0.49415,0.515168669211669,0.0606933011949425,-0.0234010678297066
0.15,4,1.5,40,1,0.5039,0.531483520545576,0.126100915753413,0.0156003163795494
0.15,4,1.5,45,1,0.5171,0.546619624346248,0.187021720919479,0.0684266865226796
0.15,4,1.5,50,1,0.5338,0.560754315073793,0.244223965265512,0.135406510368767
0.15,4,1.5,20,2,0.42735,0.456203366868026,-0.175636650738711,-0.292671360231698
0.15,4,1.5,25,2,0.44885,0.477948185953597,-0.0882645145525256,-0.205318248206627
